# epoch 0  H=7.9971 C=8.0032 HO=-0.0060  A(t)=0
         1  ..k....-......>.  fffe6b0c80d5fc2dc2eceabdf0d63ecb
         1  .........,.D....  fffdb51ea0ec06bbbe2cb044c502f8cb
         1  ...............Q  fffdb50bbde3b0b0b811a28a1ce10251
         1  ..p..>md....y..W  fffd7019933e6d64c9ed188279f7be57
         1  ....T...........  fffbf59e54e40701feb6dd06f2c1f3be
         1  ...i..N.......+>  fff8af69c7f14e89b59f8f11a3db2b3e
         1  ..>....J....g.$.  fff83e01a2d7154ae500c31867a324ab
         1  ..5..G.#!..}.j?*  fff835b1f64717232195bb7da76a3f2a
         1  ..._y.......1...  fff7d8207903bc951d8c899e31df0380
         1  ..."';..BEg.g..E  fff6b422273b03e9424567ba67eb1c45
# epoch 50  H=7.9922 C=7.9005 HO=0.0916  A(t)=0
       115  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        36  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
        31  ................  edededededededededededededededed
        28  KKKKKKKKKKKKKKKK  4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b
        23  ................  89898989898989898989898989898989
        19  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
        16  ................  16161616161616161616161616161616
        13  !!!!!!!!!!!!!!!!  21212121212121212121212121212121
        12  ................  7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f
         7  jjjjjjjjjjjjjjjj  6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a6a
# epoch 100  H=7.9845 C=7.7924 HO=0.1921  A(t)=0
       115  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
        64  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
        36  LLLLLLLLLLLLLLLL  4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c
        27  ................  edededededededededededededededed
        19  ................  f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7
